Effective user ID,Namespace ID,Event count,Views,Sessions,Engagement rate,Bounce rate,Engaged sessions,Elapsed time (seconds),Tab_click,Page/step_click,page_view,scroll,Assigned_variant
1963053890,ANONYMOUS,6,1,2,0,1,0,120.0954,0,0,1,1,B
1837502046,ANONYMOUS,6,1,2,0,1,0,53.42247222,0,0,1,1,A
1831409186,ANONYMOUS,54,24,6,0.5,0.5,3,21.12163333,0,6,24,10,B
1366811754,ANONYMOUS,54,7,7,0.714285714,0.285714286,5,15.68486728,0,26,7,7,A
362654813.2,ANONYMOUS,14,3,4,0.5,0.5,2,13.12684643,0,0,3,3,A
uid_pvkn49418j,USER_ID,105,1,4,0.25,0.75,1,12.14328619,0,16,0,13,A
uid_088umq0apbv4,USER_ID,11,1,1,1,0,1,11.42251515,0,0,1,2,A
16801589.17,ANONYMOUS,12,3,2,0.5,0.5,1,10.99818333,0,0,3,3,B
303522349.2,ANONYMOUS,520,116,6,0.666666667,0.333333333,4,5.921363301,27,209,116,68,A
uid_jcj1k4fxn2p,USER_ID,693,1,3,0.666666667,0.333333333,2,3.605686821,0,122,0,62,B
1161763726,ANONYMOUS,24,6,3,1,0,3,3.025189583,0,2,6,6,A
53073789.17,ANONYMOUS,11,1,1,1,0,1,2.009356061,0,6,1,1,B
1247083104,ANONYMOUS,38,9,2,0.5,0.5,1,1.80669693,10,0,9,5,A
582298181.2,ANONYMOUS,351,144,4,1,0,4,1.666262393,28,46,144,25,B
374503373.2,ANONYMOUS,12,1,1,1,0,1,1.582947222,0,7,1,1,A
1153479375,ANONYMOUS,16,2,2,1,0,2,1.540980208,0,16,2,2,B
1105941944,ANONYMOUS,20,1,1,1,0,1,1.395354167,0,15,1,1,A
1664317622,ANONYMOUS,42,2,1,1,0,1,1.182959921,0,34,2,2,A
uid_avp78zd6uua,USER_ID,51,1,1,1,0,1,0.640026471,0,18,2,5,A
1382053200,ANONYMOUS,13,1,1,1,0,1,0.574912821,0,9,1,1,A
1312120391,ANONYMOUS,9,1,1,1,0,1,0.570353704,0,4,1,1,A
2104417559,ANONYMOUS,20,1,1,1,0,1,0.544853333,0,16,1,1,A
1147378493,ANONYMOUS,26,5,2,0.5,0.5,1,0.482663462,0,14,5,3,A
1268746999,ANONYMOUS,34,3,3,0.333333333,0.666666667,1,0.466892647,0,22,3,3,B
1963772645,ANONYMOUS,13,1,1,1,0,1,0.456962821,0,8,1,1,B
100517340.2,ANONYMOUS,9,1,1,1,0,1,0.4321,0,5,1,1,A
1663186108,ANONYMOUS,7,1,1,1,0,1,0.385626191,0,3,1,1,B
757433675.2,ANONYMOUS,10,1,1,1,0,1,0.365618333,0,6,1,1,A
1306081210,ANONYMOUS,3,1,1,0,1,0,0.354,0,0,1,1,A
1234467419,ANONYMOUS,15,1,1,1,0,1,0.333975556,0,10,1,1,A
1287837769,ANONYMOUS,29,1,1,1,0,1,0.319448276,0,25,1,1,A
1190061110,ANONYMOUS,11,1,1,1,0,1,0.310086364,0,6,1,1,A
1656712258,ANONYMOUS,5,1,1,1,0,1,0.29182,0,1,1,1,A
2122246152,ANONYMOUS,4,1,1,0,1,0,0.279941667,0,0,1,1,B
925734082.2,ANONYMOUS,5,1,1,1,0,1,0.278813333,0,1,1,1,B
829650929.2,ANONYMOUS,29,8,7,0.285714286,0.714285714,2,0.276258621,0,7,8,6,B
627925714.2,ANONYMOUS,9,3,1,1,0,1,0.271209259,0,0,3,3,B
969484835.2,ANONYMOUS,6,1,1,1,0,1,0.267755556,0,1,1,1,B
489144042.2,ANONYMOUS,8,1,1,1,0,1,0.250510417,0,4,1,1,A
1276708983,ANONYMOUS,6,1,1,1,0,1,0.242405556,0,2,1,1,A
1761949630,ANONYMOUS,9,1,1,1,0,1,0.239944444,0,5,1,1,B
1041092724,ANONYMOUS,16,1,1,1,0,1,0.2231875,0,11,1,1,B
1129761386,ANONYMOUS,419,75,3,1,0,3,0.218379913,60,66,75,77,B
1818154739,ANONYMOUS,4,1,1,0,1,0,0.212958333,0,1,1,1,A
698878097.2,ANONYMOUS,4,1,1,0,1,0,0.208191667,0,1,1,1,B
379254665.2,ANONYMOUS,13,3,1,1,0,1,0.20773718,0,2,3,3,B
1162600937,ANONYMOUS,4,1,1,0,1,0,0.206404167,0,1,1,1,B
1350090624,ANONYMOUS,4,1,1,0,1,0,0.19795,0,1,1,1,B
1414168291,ANONYMOUS,5,1,1,1,0,1,0.19595,0,1,1,1,B
900842974.2,ANONYMOUS,23,4,1,1,0,1,0.187644203,0,11,4,3,B
1178909701,ANONYMOUS,10,3,1,1,0,1,0.17997,0,2,3,3,B
621599735.2,ANONYMOUS,3,1,1,0,1,0,0.177883333,0,0,1,0,B
1464861543,ANONYMOUS,3,1,1,0,1,0,0.173716667,0,0,1,0,A
509419008.2,ANONYMOUS,22,5,1,1,0,1,0.172486364,0,6,5,5,A
594167521.2,ANONYMOUS,4,1,1,0,1,0,0.169704167,0,1,1,1,B
499913277.2,ANONYMOUS,5,1,1,1,0,1,0.16585,0,1,1,1,B
1199062193,ANONYMOUS,4,1,1,0,1,0,0.165691667,0,1,1,1,B
